from,gene,non_unique_gene_name,annotation
hemE,hemE,hemE,Uroporphyrinogen decarboxylase
ugpC,ugpC_5,;ugpC_5,hypothetical protein;sn-glycerol-3-phosphate import ATP-binding protein UgpC
oatA,oatA,oatA,O-acetyltransferase OatA
ycdX,ycdX,;ycdX,hypothetical protein;phosphatase YcdX
crp,crp_1,crp_1,cAMP-activated global transcriptional regulator CRP
davD,davD_2,davD_2,Glutarate-semialdehyde dehydrogenase
proX,proX_1,proX_1;,Glycine betaine/proline betaine-binding periplasmic protein;hypothetical protein
btuD,btuD_18,;btuD_18,hypothetical protein;Vitamin B12 import ATP-binding protein BtuD
ygaZ,ygaZ_2,;ygaZ_2,hypothetical protein;Inner membrane protein YgaZ
pcaR,pcaR,pcaR,Pca regulon regulatory protein
rlmL,rlmL,rlmL,Ribosomal RNA large subunit methyltransferase K/L
pksS,pksS,pksS,Polyketide biosynthesis cytochrome P450 PksS
braC,braC,braC,Leucine- isoleucine- valine- threonine- and alanine-binding protein
yfiC,yfiC,yfiC,tRNA1(Val) (adenine(37)-N6)-methyltransferase
gltX,gltX_2,gltX_2,Glutamate--tRNA ligase
arg,arg,arg,Arginase
cysQ,cysQ_3,;cysQ_3,hypothetical protein;3'(2')5'-bisphosphate nucleotidase CysQ
gno,gno_4,gno_4;,Gluconate 5-dehydrogenase;Sulfoquinovose 1-dehydrogenase
ugpB,ugpB,ugpB,sn-glycerol-3-phosphate-binding periplasmic protein UgpB
allE,allE,;allE,hypothetical protein;(S)-ureidoglycine aminohydrolase
ybjJ,ybjJ,ybjJ;,Inner membrane protein YbjJ;hypothetical protein
phnI,phnI,phnI,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnI
argO,argO,argO,Arginine exporter protein ArgO
iolB,iolB,iolB,5-deoxy-glucuronate isomerase
rluD,rluD,rluD,Ribosomal large subunit pseudouridine synthase D
sgrR,sgrR_2,sgrR_2,HTH-type transcriptional regulator SgrR
moaA,moaA,moaA,GTP 3'8-cyclase
nirK,nirK,nirK;,Copper-containing nitrite reductase;hypothetical protein
dppA,dppA_1,dppA_1;,Periplasmic dipeptide transport protein;hypothetical protein
lapB,lapB,lapB,Lipopolysaccharide assembly protein B
paaA,paaA,paaA,12-phenylacetyl-CoA epoxidase subunit A
queF,queF,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase
dgoA,dgoA,dgoA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase
dprE1,dprE1,dprE1,Decaprenylphosphoryl-beta-D-ribose oxidase
bigR,bigR,;bigR,hypothetical protein;Biofilm growth-associated repressor
rnc,rnc,rnc,Ribonuclease 3
pqqA,pqqA,;pqqA,hypothetical protein;Coenzyme PQQ synthesis protein A
cynR,cynR,;cynR,hypothetical protein;HTH-type transcriptional regulator CynR
pksJ,pksJ,pksJ,Polyketide synthase PksJ
hslU,hslU,hslU,ATP-dependent protease ATPase subunit HslU
bdcA,bdcA,bdcA,Cyclic-di-GMP-binding biofilm dispersal mediator protein
dauA,dauA,dauA,FAD-dependent catabolic D-arginine dehydrogenase DauA
zapE,zapE,zapE,Cell division protein ZapE
adh1,adh1_1,adh1_1,Long-chain-alcohol dehydrogenase 1
cdd,cdd,cdd,Cytidine deaminase
ihfA,ihfA,ihfA,Integration host factor subunit alpha
ureD,ureD,ureD,Urease accessory protein UreD
apbC,apbC,apbC,Iron-sulfur cluster carrier protein
pspA,pspA,pspA,Phosphoserine phosphatase 1
hcaT,hcaT,hcaT,putative 3-phenylpropionic acid transporter
gyrA,gyrA,gyrA,DNA gyrase subunit A
glaR,glaR,;glaR,hypothetical protein;HTH-type transcriptional repressor GlaR
acoA,acoA_2,acoA_2,Acetoin:26-dichlorophenolindophenol oxidoreductase subunit alpha
cckA,cckA,cckA,Sensor kinase CckA
cobT,cobT,cobT,Aerobic cobaltochelatase subunit CobT
lptD,lptD,lptD;,LPS-assembly protein LptD;hypothetical protein
mcm,mcm,mcm,Methylmalonyl-CoA mutase
maiA,maiA,maiA,Maleate isomerase
otnC,otnC,otnC,3-oxo-tetronate 4-phosphate decarboxylase
argD,argD_2,argD_2,Acetylornithine/succinyldiaminopimelate aminotransferase
metAA,metAA,metAA,Homoserine O-acetyltransferase
yjiA,yjiA_2,yjiA_2,P-loop guanosine triphosphatase YjiA
ngcG,ngcG_5,;ngcG_5,hypothetical protein;Diacetylchitobiose uptake system permease protein NgcG
mraZ,mraZ,mraZ,Transcriptional regulator MraZ
pssM,pssM,;pssM,hypothetical protein;Exopolysaccharide glucosyl ketal-pyruvate-transferase
rutB,rutB_4,;rutB_4,hypothetical protein;Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
ruvC,ruvC,ruvC,Crossover junction endodeoxyribonuclease RuvC
hepA,hepA,;hepA,hypothetical protein;Heterocyst differentiation ATP-binding protein HepA
polA,polA,polA,DNA polymerase I
znuC,znuC,znuC,Zinc import ATP-binding protein ZnuC
rspR,rspR_6,;rspR_6,hypothetical protein;HTH-type transcriptional repressor RspR
epmA,epmA,epmA,Elongation factor P--(R)-beta-lysine ligase
ybeY,ybeY,ybeY,Endoribonuclease YbeY
mshA,mshA_15,;mshA_15,hypothetical protein;D-inositol-3-phosphate glycosyltransferase
xerC,xerC_12,;xerC_12,hypothetical protein;Tyrosine recombinase XerC
fabZ,fabZ,;fabZ,hypothetical protein;3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
yohF,yohF,yohF;,putative oxidoreductase YohF;3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
gntR,gntR_1,;gntR_1,hypothetical protein;putative D-xylose utilization operon transcriptional repressor
gpsA,gpsA,;gpsA,hypothetical protein;Glycerol-3-phosphate dehydrogenase [NAD(P)+]
recO,recO,recO,DNA repair protein RecO
aroC,aroC,aroC,Chorismate synthase
murD,murD,;murD,hypothetical protein;UDP-N-acetylmuramoylalanine--D-glutamate ligase
phnH,phnH,phnH,Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH
mhqD,mhqD,mhqD,Putative hydrolase MhqD
lexA,lexA_2,lexA_2,LexA repressor
fghA,fghA_1,fghA_1,S-formylglutathione hydrolase
eis,eis,eis,N-acetyltransferase Eis
phnN,phnN,phnN,Ribose 15-bisphosphate phosphokinase PhnN
gltI,gltI,;gltI,hypothetical protein;Glutamate/aspartate import solute-binding protein
rne,rne,rne;,Ribonuclease E;hypothetical protein
cutC,cutC,cutC,Copper homeostasis protein CutC
lcdH,lcdH,lcdH,L-carnitine dehydrogenase
amiR,amiR,;amiR,hypothetical protein;Aliphatic amidase regulator
dcp,dcp,dcp,Dipeptidyl carboxypeptidase
nasA,nasA,nasA,Nitrate reductase
doeB,doeB,doeB,N-alpha-acetyl-L-24-diaminobutyric acid deacetylase
lpxI,lpxI,lpxI,UDP-23-diacylglucosamine pyrophosphatase LpxI
pgrR,pgrR_1,pgrR_1,HTH-type transcriptional regulator PgrR
fhs,fhs,fhs,Formate--tetrahydrofolate ligase
AAH1,AAH1,;AAH1,Adenine deaminase
argG,argG,argG,Argininosuccinate synthase
