Hs,Ht,Gst,Gprime_st,D,loc_id,gene,tops
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc07922,ligD_5,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc07927,aroB,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc07943,hpaH,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc07952,dadD,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc07962,menE_3,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08036,glnA_3,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08036,glnA_1,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08621,lexA_1,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08683,gdhI,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08747,hbpA_4,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08753,traC_2,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08829,xerC_13,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08831,hipA_2,0
0.27906976744186046,0.38953488372093026,0.28358208955223885,0.6129032258064518,0.3064516129032259,loc08888,recF_3,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06386,ligD_2,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06386,lig_2,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06399,nusG_2,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06399,nusG_3,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06399,nusG_4,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06415,bepA_6,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06415,bepA_2,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06418,cckA_1,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06445,resA_6,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06471,gsiA_10,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06471,gsiA_8,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06473,acuI_2,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06473,acuI_1,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06473,acuI,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06478,xerC_6,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06502,xerC_11,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06509,dauA_1,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06668,xerD_1,0
0.4573643410852713,0.5203488372093023,0.12104283054003716,0.397959183673469,0.2321428571428569,loc06676,pla,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc05718,glnQ_11,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc05718,glnQ_10,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc07985,xerC_8,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc07985,xerC_12,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08013,acpP_4,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08028,doeA_2,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08028,doeA_1,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08035,argE_1,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08035,dapE_3,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08038,gsiB_1,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08052,dltA_1,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08061,asd,0
0.24806201550387597,0.2906976744186048,0.14666666666666706,0.3402061855670111,0.11340206185567044,loc08063,denD_2,0
