ID,RhizobiaSite,Rhizobia,PlantSite,Plant,TreatmentID,Waterblock,Label,DryWeight (mg),NoduleNumber,RootWeight (mg),NoduleWeight (mg)
63,H,H4M5R1,S,S5M6,5,13,ID063-H4M5R1-WB13-S5M6,7.1,16,1.6,0.3
64,H,H4M5R1,S,S5M5,5,13,ID064-H4M5R1-WB13-S5M5,17.6,13,2.4,0.4
65,H,H4M5R1,S,S5M6,5,14,ID065-H4M5R1-WB14-S5M6,2.3,5,0.5,
66,H,H4M5R1,S,S5M1,5,14,ID066-H4M5R1-WB14-S5M1,5.6,9,1.6,0.3
67,H,H4M5R1,S,S5M3,5,14,ID067-H4M5R1-WB14-S5M3,6.2,2,1.3,0.3
68,H,H4M5R1,S,S5M7,5,14,ID068-H4M5R1-WB14-S5M7,9.9,7,2.4,0.3
69,H,H4M5R1,S,S5M4,5,14,ID069-H4M5R1-WB14-S5M4,2.7,5,0.7,0.2
70,H,H4M5R1,S,S5M4,5,14,ID070-H4M5R1-WB14-S5M4,11.6,14,3.1,0.6
71,H,H4M5R1,S,S5M1,5,15,ID071-H4M5R1-WB15-S5M1,2.5,1,0.6,
72,H,H4M5R1,S,S5M4,5,15,ID072-H4M5R1-WB15-S5M4,8.6,9,1,0.4
73,H,H4M5R1,S,S5M6,5,15,ID073-H4M5R1-WB15-S5M6,7.4,10,1.2,0.3
