temperature,well,exp_id,r,t.r,lag,maxOD,startOD
40c,B06,fp1-3,0.894456439981463,20.25,19.497629577464853,0.18646708698625605,-0.028249999999999997
40c,C06,fp2-2,0.12836828173285295,37.75,31.79722932423201,0.07519667782390728,-0.029249999999999998
40c,D06,crp1-2,0.39958673180060045,14.75,12.931400076545572,0.25042254281595305,-0.03125
40c,E06,crp1-3,0.5253073334356498,15.583333333333334,14.26228291289504,0.2427379880580523,-0.034
40c,F06,crp2-2,0.45074637212814783,16.333333333333332,14.858466358356354,0.26436707876762233,-0.034
40c,G06,gp1-1,0,NA,NA,NA,-0.03225
40c,H06,gp1-2,0,NA,NA,NA,-0.034
40c,A07,gp1-3,0,NA,NA,NA,-0.03125
40c,B07,bg-2,0.714392552604246,13.666666666666666,12.882994960391642,0.19239613015417747,-0.029249999999999998
40c,C07,bg-3,0.6201353242415214,12.416666666666666,11.285376837405597,0.1952921331136761,-0.03025
40c,D07,pms-1,0.2602854092029519,16.75,13.9089148912584,0.1897796567785495,-0.03125
40c,E07,pms-2,0.31880056286292285,14.916666666666666,12.893115100046584,0.1949117433863985,-0.03225
40c,F07,pms-3,0.4306941594838849,16.75,15.260413853264957,0.24789201771729155,-0.03225
40c,G07,ppf-1,0.7278516648693674,16.5,15.659881197986529,0.23812991190608437,-0.03125
40c,H07,40th-1,1.067706037829784,13.666666666666666,13.016525610917455,0.2837389175430235,-0.034
40c,A08,gp1-3,0,NA,NA,NA,-0.03225
40c,B08,bg-2,0.6124772326843135,16.25,15.15589655651506,0.20011224464050226,-0.03025
40c,C08,bg-3,0.5362638236775807,14.333333333333334,12.885965850905155,0.19184428124844333,-0.03225
40c,D08,pms-1,0.44685009291239414,14.416666666666666,12.706310983265107,0.2038618870398904,-0.03025
40c,E08,pms-2,0.31769750725655477,17.083333333333332,14.415568510058174,0.23815826037330443,-0.03125
40c,F08,pms-3,0.5693193178344504,13.833333333333334,12.741810627094038,0.27283963412254453,-0.03325
40c,G08,ppf-1,0.6912873238610874,13.5,12.639147862398639,0.26405119590696896,-0.03225
40c,H08,40th-1,0.8614712592112914,13,12.284812882914624,0.27269368131719335,-0.03325
