from,gene,non_unique_gene_name,annotation
malT,malT,malT,HTH-type transcriptional regulator MalT
ampR,ampR,ampR,HTH-type transcriptional activator AmpR
ndvA,ndvA,ndvA,Beta-(1-->2)glucan export ATP-binding/permease protein NdvA
map,map_1,map_1,Methionine aminopeptidase
osmX,osmX,osmX,Osmoprotectant-binding protein OsmX
yedJ,yedJ,yedJ,putative protein YedJ
dxs,dxs_3,dxs_3;,1-deoxy-D-xylulose-5-phosphate synthase;hypothetical protein
novR,novR,novR;,Decarboxylase NovR;hypothetical protein
radA,radA,radA,DNA repair protein RadA
dauR,dauR,dauR,Transcriptional regulator DauR
tmk,tmk,tmk,Thymidylate kinase
gntK,gntK,gntK;,Thermoresistant gluconokinase;hypothetical protein
pepA,pepA_1,pepA_1,Cytosol aminopeptidase
cph2,cph2,cph2;,Phytochrome-like protein cph2;hypothetical protein
bglA,bglA,bglA,Beta-glucosidase
htpG,htpG,htpG,Chaperone protein HtpG
mltC,mltC,mltC,Membrane-bound lytic murein transglycosylase C
fabF,fabF_1,;fabF_1,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] synthase 2
ywnA,ywnA_1,;ywnA_1,hypothetical protein;Putative HTH-type transcriptional regulator YwnA
hppA,hppA,hppA,K(+)-insensitive pyrophosphate-energized proton pump
rclR,rclR,;rclR,IS5 family transposase IS4811;RCS-specific HTH-type transcriptional activator RclR
dmdC,dmdC_2,dmdC_2,3-methylmercaptopropionyl-CoA dehydrogenase
ndhJ,ndhJ,ndhJ,NAD(P)H-quinone oxidoreductase subunit J chloroplastic
xylG,xylG_1,xylG_1,Xylose import ATP-binding protein XylG
lutA,lutA,lutA,Lactate utilization protein A
trpA,trpA,trpA,Tryptophan synthase alpha chain
epsL,epsL_1,epsL_1,putative sugar transferase EpsL
ynjC,ynjC,;ynjC,hypothetical protein;Inner membrane ABC transporter permease protein YnjC
rafR,rafR_2,;rafR_2,hypothetical protein;HTH-type transcriptional regulator RafR
recR,recR,recR,Recombination protein RecR
cpnA,cpnA,cpnA,Cyclopentanol dehydrogenase
sufD,sufD,sufD,FeS cluster assembly protein SufD
argP,argP_1,;argP_1,hypothetical protein;HTH-type transcriptional regulator ArgP
phnC,phnC,phnC,Phosphate-import ATP-binding protein PhnC
yhgF,yhgF,yhgF,Protein YhgF
nudL,nudL,nudL,putative Nudix hydrolase NudL
acpP,acpP_3,acpP_3,Acyl carrier protein;Acyl carrier protein AcpP
allA,allA_1,allA_1,Ureidoglycolate lyase
glnM,glnM_1,glnM_1;,putative glutamine ABC transporter permease protein GlnM;hypothetical protein
trmB,trmB,trmB,tRNA (guanine-N(7)-)-methyltransferase
nicS,nicS_2,nicS_2,HTH-type transcriptional repressor NicS
zwf,zwf,zwf,Glucose-6-phosphate 1-dehydrogenase
udg,udg,udg;,Type-4 uracil-DNA glycosylase;hypothetical protein
valS,valS,valS,Valine--tRNA ligase
cobA,cobA,cobA,Uroporphyrinogen-III C-methyltransferase
pyrE,pyrE_1,;pyrE_1,hypothetical protein;Orotate phosphoribosyltransferase
nrdR,nrdR,nrdR,Transcriptional repressor NrdR
hrpB,hrpB,hrpB,ATP-dependent RNA helicase HrpB
mlaF,mlaF,mlaF,Intermembrane phospholipid transport system ATP-binding protein MlaF
dat,dat_1,;dat_1,hypothetical protein;D-alanine aminotransferase
pucK,pucK,pucK,Uric acid permease PucK
yyaP,yyaP_1,yyaP_1;,putative protein YyaP;hypothetical protein
def,def_1,def_1,Peptide deformylase
cymR,cymR,cymR,HTH-type transcriptional regulator CymR
cheD,cheD,cheD,Chemoreceptor glutamine deamidase CheD
tusA,tusA,;tusA,hypothetical protein;Sulfur carrier protein TusA
dadA,dadA,dadA,D-amino acid dehydrogenase
rbsC,rbsC_20,;rbsC_20,hypothetical protein;Ribose import permease protein RbsC
iscS,iscS,iscS,Cysteine desulfurase IscS;IscS-like cysteine desulfurase
gcd,gcd,gcd,Quinoprotein glucose dehydrogenase
pgl,pgl,;pgl,hypothetical protein;6-phosphogluconolactonase
gpt,gpt,gpt,Xanthine phosphoribosyltransferase
