gene,non_unique_gene_name,annotation,from
xylG_2~~~xylG_3,xylG_2;;xylG_3,Xylose import ATP-binding protein XylG;hypothetical protein,xylG
sasA_4~~~sasA_3~~~sasA_5,;sasA_4;sasA_3;sasA_5,hypothetical protein;Adaptive-response sensory-kinase SasA,sasA
rnk_1~~~rnk_2,rnk_1;rnk_2,Regulator of nucleoside diphosphate kinase,rnk
vapC_4~~~vapC_3~~~vapC_5,vapC_4;vapC_3;vapC_5,tRNA(fMet)-specific endonuclease VapC,vapC
cysG_2~~~cysG_1,;cysG_2;cysG_1,hypothetical protein;Siroheme synthase,cysG
petC_2~~~petC_1,;petC_2;petC_1,hypothetical protein;Cytochrome b6-f complex iron-sulfur subunit,petC
mrpA_2~~~mrpA~~~mrpA_1,mrpA_2;mrpA;mrpA_1,Na(+)/H(+) antiporter subunit A,mrpA
rgtA_1~~~rgtA_2,rgtA_1;rgtA_2,Lipopolysaccharide core galacturonosyltransferase RgtA,rgtA
kdsA_2~~~kdsA_1~~~kdsA,;kdsA_2;kdsA_1;kdsA,hypothetical protein;2-dehydro-3-deoxyphosphooctonate aldolase,kdsA
treS_2~~~treS_1~~~treS,treS_2;treS_1;treS,Trehalose synthase/amylase TreS,treS
ybaL_1~~~ybaL_2~~~ybaL,ybaL_1;ybaL_2;ybaL,Putative cation/proton antiporter YbaL,ybaL
gsiA_3~~~gsiA_4~~~gsiA_7,gsiA_3;gsiA_4;gsiA_7,Glutathione import ATP-binding protein GsiA,gsiA
nanR_1~~~nanR_7,;nanR_1;nanR_7,hypothetical protein;HTH-type transcriptional repressor NanR,nanR
prsD_1~~~prsD_3,;prsD_1;prsD_3,hypothetical protein;Type I secretion system ATP-binding protein PrsD,prsD
rcsC_3~~~rcsC_9,rcsC_3;;rcsC_9,Sensor histidine kinase RcsC;hypothetical protein,rcsC
rbsC_12~~~rbsC_13,rbsC_12;;rbsC_13,Ribose import permease protein RbsC;hypothetical protein,rbsC
ydcV_3~~~ydcV_5,ydcV_3;;ydcV_5,Inner membrane ABC transporter permease protein YdcV;hypothetical protein,ydcV
betS_1~~~betS~~~betS_2,betS_1;betS;betS_2,Glycine betaine/proline betaine transporter BetS,betS
dcp_2~~~dcp_1~~~dcp,dcp_2;dcp_1;dcp,Dipeptidyl carboxypeptidase,dcp
paoC_5~~~paoC_4,paoC_5;paoC_4,Aldehyde oxidoreductase molybdenum-binding subunit PaoC,paoC
fhuA_2~~~fhuA_1~~~fhuA_3,fhuA_2;fhuA_1;fhuA_3,Ferrichrome outer membrane transporter/phage receptor,fhuA
kefC_2~~~kefC_1,;kefC_2;kefC_1,hypothetical protein;Glutathione-regulated potassium-efflux system protein KefC,kefC
pdxA_2~~~pdxA~~~pdxA_1,pdxA_2;pdxA;pdxA_1,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA
virB4_3~~~virB4_2~~~virB4_1,virB4_3;virB4_2;virB4_1,Type IV secretion system protein virB4,virB4
ftsI_2~~~ftsI_1,ftsI_2;ftsI_1,putative peptidoglycan DD-transpeptidase FtsI,ftsI
gcvT_2~~~gcvT_3,gcvT_2;gcvT_3,Aminomethyltransferase,gcvT
napA_1~~~napA_2~~~napA,napA_1;napA_2;napA,Periplasmic nitrate reductase,napA
ligD_6~~~ligD_5~~~ligD_1,ligD_6;ligD_5;ligD_1,Multifunctional non-homologous end joining protein LigD,ligD
mshA_10~~~mshA_9~~~mshA_2,mshA_10;mshA_9;mshA_2,D-inositol-3-phosphate glycosyltransferase,mshA
carB_2~~~carB_1,carB_2;carB_1,Carbamoyl-phosphate synthase large chain,carB
cysD_2~~~cysD_1,cysD_2;cysD_1,Sulfate adenylyltransferase subunit 2,cysD
ycaD_5~~~ycaD_4,ycaD_5;ycaD_4,putative MFS-type transporter YcaD,ycaD
lexA_2~~~lexA_3~~~lexA_1,lexA_2;lexA_3;lexA_1,LexA repressor,lexA
pleD_2~~~pleD_1~~~pleD,pleD_2;pleD_1;pleD,Response regulator PleD,pleD
ychF_2~~~ychF_1~~~ychF,ychF_2;ychF_1;ychF,Ribosome-binding ATPase YchF,ychF
yidC_1~~~yidC_2~~~yidC,yidC_1;yidC_2;yidC,Membrane protein insertase YidC,yidC
kce_2~~~kce_1,;kce_2;kce_1,hypothetical protein;3-keto-5-aminohexanoate cleavage enzyme,kce
dinB_1~~~dinB_3~~~dinB_2,dinB_1;dinB_3;;dinB_2,DNA polymerase IV;hypothetical protein,dinB
sugB_2~~~sugB_5,sugB_2;sugB_5;,Trehalose transport system permease protein SugB;hypothetical protein,sugB
ycaC_1~~~ycaC_3~~~ycaC_4,;ycaC_1;ycaC_3;ycaC_4,hypothetical protein;putative hydrolase YcaC,ycaC
menH_1~~~menH_2,menH_1;;menH_2,2-succinyl-6-hydroxy-24-cyclohexadiene-1-carboxylate synthase;hypothetical protein,menH
hcnB~~~hcnB_1,;hcnB;hcnB_1,hypothetical protein;Hydrogen cyanide synthase subunit HcnB,hcnB
nodD2_1~~~nodD2_4,nodD2_1;nodD2_4,Nodulation protein D 2,nodD2
fabG_16~~~fabG_4,;fabG_16;fabG_4,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] reductase;3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
menE_1~~~menE_2,menE_1;;menE_2,2-succinylbenzoate--CoA ligase;hypothetical protein,menE
rlmB_2~~~rlmB_1,rlmB_2;rlmB_1,23S rRNA (guanosine-2'-O-)-methyltransferase RlmB,rlmB
rhaR_9~~~rhaR_6~~~rhaR_4,rhaR_9;rhaR_6;rhaR_4,HTH-type transcriptional activator RhaR,rhaR
galE_1~~~galE_2~~~galE_3,galE_1;;galE_2;galE_3,UDP-glucose 4-epimerase;hypothetical protein,galE
cdhR_5~~~cdhR_4,cdhR_5;cdhR_4,HTH-type transcriptional regulator CdhR,cdhR
tufA_1~~~tufA_2,tufA_1;tufA_2,Elongation factor Tu,tufA
rarA_1~~~rarA_2~~~rarA,rarA_1;rarA_2;rarA,Replication-associated recombination protein A,rarA
bacC_4~~~bacC_1,;bacC_4;bacC_1,hypothetical protein;Dihydroanticapsin 7-dehydrogenase,bacC
coaA_2~~~coaA_1,coaA_2;coaA_1,Pantothenate kinase,coaA
pcm_4~~~pcm_1,;pcm_4;pcm_1,putative protein;Protein-L-isoaspartate O-methyltransferase,pcm
virB2_2~~~virB2_1,virB2_2;virB2_1,Protein virB2,virB2
btuD_8~~~btuD_22,;btuD_8;btuD_22,hypothetical protein;Vitamin B12 import ATP-binding protein BtuD,btuD
tas_3~~~tas_2~~~tas,tas_3;tas_2;tas,Protein tas,tas
syrM1_1~~~syrM1,syrM1_1;syrM1,HTH-type transcriptional regulator SyrM 1,syrM1
nasA~~~nasA_1~~~nasA_2,nasA;nasA_1;nasA_2,Nitrate reductase,nasA
msmX_1~~~msmX_2,msmX_1;msmX_2,Oligosaccharides import ATP-binding protein MsmX,msmX
pheT_1~~~pheT_2~~~pheT,pheT_1;pheT_2;pheT,Phenylalanine--tRNA ligase beta subunit,pheT
hdfR_1~~~hdfR_7,hdfR_1;hdfR_7,HTH-type transcriptional regulator HdfR,hdfR
rpoB_2~~~rpoB_1~~~rpoB,rpoB_2;rpoB_1;rpoB,DNA-directed RNA polymerase subunit beta,rpoB
araE_2~~~araE_1~~~araE,araE_2;araE_1;araE,Alpha-ketoglutaric semialdehyde dehydrogenase 1,araE
pucI_1~~~pucI~~~pucI_2,pucI_1;pucI;pucI_2,putative allantoin permease,pucI
puuB_1~~~puuB_6,puuB_1;puuB_6,Gamma-glutamylputrescine oxidoreductase,puuB
hexR_3~~~hexR_1,hexR_3;hexR_1,HTH-type transcriptional regulator HexR,hexR
ligA_1~~~ligA_2~~~ligA,ligA_1;ligA_2;ligA,DNA ligase,ligA
ccmF~~~ccmF_2~~~ccmF_1,ccmF;ccmF_2;;ccmF_1,Cytochrome c-type biogenesis protein CcmF;hypothetical protein,ccmF
mnmC_2~~~mnmC_1,mnmC_2;mnmC_1,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,mnmC
cpdA_2~~~cpdA_3,cpdA_2;cpdA_3,3'5'-cyclic adenosine monophosphate phosphodiesterase CpdA,cpdA
arcA_1~~~arcA_3,arcA_1;arcA_3,Arginase,arcA
mrpD_1~~~mrpD_2,mrpD_1;;mrpD_2,Na(+)/H(+) antiporter subunit D;hypothetical protein,mrpD
cutM_2~~~cutM_1,;cutM_2;cutM_1,hypothetical protein;Carbon monoxide dehydrogenase medium chain,cutM
glgX_2~~~glgX_1,glgX_2;glgX_1,Glycogen debranching enzyme;Glycogen operon protein GlgX,glgX
cutL_2~~~cutL_1~~~cutL,cutL_2;cutL_1;cutL,Carbon monoxide dehydrogenase large chain,cutL
pgrR_11~~~pgrR_6~~~pgrR_5,pgrR_11;;pgrR_6;pgrR_5,HTH-type transcriptional regulator PgrR;hypothetical protein,pgrR
paaZ_1~~~paaZ_2,paaZ_1;paaZ_2;,Bifunctional protein PaaZ;hypothetical protein,paaZ
ndhC_1~~~ndhC_2,ndhC_1;ndhC_2,NAD(P)H-quinone oxidoreductase subunit 3;NAD(P)H-quinone oxidoreductase subunit 3 chloroplastic,ndhC
ydjH_1~~~ydjH_2,ydjH_1;ydjH_2,putative sugar kinase YdjH,ydjH
uvrA_1~~~uvrA_2~~~uvrA,uvrA_1;uvrA_2;uvrA,UvrABC system protein A,uvrA
mobA_2~~~mobA~~~mobA_1,mobA_2;mobA;mobA_1,Molybdenum cofactor guanylyltransferase,mobA
pal_1~~~pal_3~~~pal_2,pal_1;pal_3;pal_2;,Peptidoglycan-associated lipoprotein;hypothetical protein,pal
thrS_2~~~thrS_1~~~thrS,thrS_2;thrS_1;thrS,Threonine--tRNA ligase 1;Threonine--tRNA ligase,thrS
rho_1~~~rho_2~~~rho,rho_1;rho_2;rho,Transcription termination factor Rho,rho
gsiD_5~~~gsiD_7,;gsiD_5;gsiD_7,hypothetical protein;Glutathione transport system permease protein GsiD,gsiD
leuS_2~~~leuS_1~~~leuS,leuS_2;leuS_1;leuS,Leucine--tRNA ligase,leuS
soxA_2~~~soxA_3,soxA_2;soxA_3,Sarcosine oxidase subunit alpha,soxA
ntaA_1~~~ntaA_2~~~ntaA,ntaA_1;ntaA_2;ntaA,Nitrilotriacetate monooxygenase component A,ntaA
ycaD_5~~~ycaD_6~~~ycaD_2,ycaD_5;ycaD_6;;ycaD_2,putative MFS-type transporter YcaD;hypothetical protein,ycaD
trkI_2~~~trkI_1~~~trkI,trkI_2;trkI_1;trkI,Trk system potassium uptake protein TrkI,trkI
nth_2~~~nth,nth_2;nth,Endonuclease III,nth
aroE_2~~~aroE_3,aroE_2;aroE_3,Shikimate dehydrogenase (NADP(+)),aroE
tgnD_1~~~tgnD~~~tgnD_2,tgnD_1;tgnD;tgnD_2,(E)-2-((N-methylformamido)methylene)succinate hydrolase,tgnD
entS_4~~~entS_1,entS_4;;entS_1,Enterobactin exporter EntS;hypothetical protein,entS
ileS_1~~~ileS_2~~~ileS,ileS_1;ileS_2;ileS,Isoleucine--tRNA ligase,ileS
uacT_4~~~uacT_3~~~uacT_1,uacT_4;;uacT_3;uacT_1,Uric acid transporter UacT;hypothetical protein,uacT
dapB~~~dapB_2~~~dapB_1,dapB;dapB_2;dapB_1,4-hydroxy-tetrahydrodipicolinate reductase,dapB
iolG_6~~~iolG_9,;iolG_6;iolG_9,hypothetical protein;Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,iolG
argG_2~~~argG_1~~~argG,argG_2;argG_1;argG,Argininosuccinate synthase,argG
purU_2~~~purU_3,purU_2;purU_3,Formyltetrahydrofolate deformylase,purU
rhaS_2~~~rhaS_6,rhaS_2;;rhaS_6,HTH-type transcriptional activator RhaS;hypothetical protein,rhaS
pgiA_1~~~pgiA_2,;pgiA_1;pgiA_2,hypothetical protein;Glucose-6-phosphate isomerase,pgiA
rafR_2~~~rafR_1,;rafR_2;rafR_1,hypothetical protein;HTH-type transcriptional regulator RafR,rafR
prsE_2~~~prsE_4~~~prsE_5,prsE_2;;prsE_4;prsE_5,Type I secretion system membrane fusion protein PrsE;hypothetical protein,prsE
dksA_2~~~dksA_1,dksA_2;dksA_1,RNA polymerase-binding transcription factor DksA,dksA
ureG_1~~~ureG_2~~~ureG,ureG_1;ureG_2;ureG,Urease accessory protein UreG,ureG
dmlR_13~~~dmlR_2,;dmlR_13;dmlR_2,hypothetical protein;HTH-type transcriptional regulator DmlR,dmlR
sasA_6~~~sasA_2,sasA_6;sasA_2,Adaptive-response sensory-kinase SasA,sasA
decR_2~~~decR_3,decR_2;decR_3,DNA-binding transcriptional activator DecR,decR
dapA_5~~~dapA_3,dapA_5;dapA_3,4-hydroxy-tetrahydrodipicolinate synthase,dapA
ycaD_5~~~ycaD_2,ycaD_5;ycaD_2,putative MFS-type transporter YcaD,ycaD
andAa_2~~~andAa_1,andAa_2;andAa_1,Anthranilate 12-dioxygenase system ferredoxin--NAD(+) reductase component,andAa
purU_3~~~purU_1,purU_3;purU_1,Formyltetrahydrofolate deformylase,purU
fhuA_2~~~fhuA_1,fhuA_2;fhuA_1,Ferrichrome outer membrane transporter/phage receptor,fhuA
dgoD_1~~~dgoD_2,dgoD_1;dgoD_2,D-galactonate dehydratase,dgoD
sasA_3~~~sasA_7,;sasA_3;sasA_7,hypothetical protein;Adaptive-response sensory-kinase SasA,sasA
malK_6~~~malK_9~~~malK_2~~~malK_11,malK_6;malK_9;malK_2;malK_11,Maltose/maltodextrin import ATP-binding protein MalK,malK
recF_1~~~recF,recF_1;recF,DNA replication and repair protein RecF,recF
livF_5~~~livF_2,livF_5;livF_2,High-affinity branched-chain amino acid transport ATP-binding protein LivF,livF
rbsB_3~~~rbsB_6,;rbsB_3;rbsB_6,hypothetical protein;Ribose import binding protein RbsB,rbsB
yhdY~~~yhdY_2,yhdY;;yhdY_2,Inner membrane amino-acid ABC transporter permease protein YhdY;hypothetical protein,yhdY
cocE_1~~~cocE_2~~~cocE,cocE_1;cocE_2;cocE,Cocaine esterase,cocE
fliY_3~~~fliY_1,fliY_3;fliY_1,L-cystine-binding protein FliY,fliY
hmuU_1~~~hmuU_2,hmuU_1;hmuU_2,Hemin transport system permease protein HmuU,hmuU
dauA_1~~~dauA_2,dauA_1;dauA_2;,FAD-dependent catabolic D-arginine dehydrogenase DauA;hypothetical protein,dauA
sgrR_2~~~sgrR_4,sgrR_2;sgrR_4;,HTH-type transcriptional regulator SgrR;hypothetical protein,sgrR
mnmC_1~~~mnmC_2,mnmC_1;mnmC_2,tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC,mnmC
cmpB_1~~~cmpB_2~~~cmpB,cmpB_1;cmpB_2;cmpB,Bicarbonate transport system permease protein CmpB,cmpB
sctC_2~~~sctC_1,sctC_2;sctC_1,Type 3 secretion system secretin,sctC
dmlR_5~~~dmlR_8,dmlR_5;dmlR_8,HTH-type transcriptional regulator DmlR,dmlR
iolG_11~~~iolG_4,iolG_11;iolG_4,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,iolG
gpmA_2~~~gpmA_1,gpmA_2;gpmA_1,23-bisphosphoglycerate-dependent phosphoglycerate mutase,gpmA
COQ5_3~~~COQ5_7,COQ5_3;COQ5_7,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,COQ5
artJ_2~~~artJ_1,artJ_2;;artJ_1,ABC transporter arginine-binding protein 1;hypothetical protein,artJ
abo_1~~~abo_5~~~abo_6,abo_1;abo_5;abo_6,4-methylaminobutanoate oxidase (formaldehyde-forming),abo
bamA_3~~~bamA_2,bamA_3;bamA_2,Outer membrane protein assembly factor BamA,bamA
doeA_1~~~doeA_2,doeA_1;doeA_2,Ectoine hydrolase,doeA
virB8_2~~~virB8_1~~~virB8_3,virB8_2;virB8_1;virB8_3,Protein virB8,virB8
ugpB_1~~~ugpB_2,ugpB_1;;ugpB_2,sn-glycerol-3-phosphate-binding periplasmic protein UgpB;hypothetical protein,ugpB
ubiL_1~~~ubiL_2,ubiL_1;ubiL_2,Ubiquinone hydroxylase UbiL,ubiL
mtgB_6~~~mtgB_1~~~mtgB_4~~~mtgB_2~~~mtgB_5,mtgB_6;mtgB_1;mtgB_4;mtgB_2;mtgB_5,Glycine betaine methyltransferase,mtgB
alsT_1~~~alsT_2,alsT_1;;alsT_2,Amino-acid carrier protein AlsT;hypothetical protein,alsT
deoC_1~~~deoC_2,deoC_1;deoC_2,Deoxyribose-phosphate aldolase,deoC
ndvB_1~~~ndvB_2~~~ndvB,ndvB_1;ndvB_2;ndvB,Cyclic beta-(12)-glucan synthase NdvB,ndvB
fabG_6~~~fabG_10,fabG_6;fabG_10,3-oxoacyl-[acyl-carrier-protein] reductase;3-oxoacyl-[acyl-carrier-protein] reductase FabG,fabG
rsmB_2~~~rsmB_1,;rsmB_2;rsmB_1,hypothetical protein;Ribosomal RNA small subunit methyltransferase B,rsmB
iolD_2~~~iolD_1~~~iolD,iolD_2;iolD_1;iolD,3D-(35/4)-trihydroxycyclohexane-12-dione hydrolase,iolD
lutR_6~~~lutR_7~~~lutR_5,lutR_6;lutR_7;lutR_5,HTH-type transcriptional regulator LutR,lutR
gsiC_5~~~gsiC_10,gsiC_5;gsiC_10,Glutathione transport system permease protein GsiC,gsiC
moaA_1~~~moaA,moaA_1;moaA,GTP 3'8-cyclase,moaA
dppB_5~~~dppB_6,dppB_5;;dppB_6,Dipeptide transport system permease protein DppB;hypothetical protein,dppB
malL_2~~~malL_1,malL_2;;malL_1,Oligo-16-glucosidase;hypothetical protein,malL
dxs_1~~~dxs_2,dxs_1;dxs_2,1-deoxy-D-xylulose-5-phosphate synthase,dxs
gsiA_11~~~gsiA_4,gsiA_11;gsiA_4,Glutathione import ATP-binding protein GsiA,gsiA
tauR_1~~~tauR_2~~~tauR,tauR_1;tauR_2;tauR,HTH-type transcriptional regulator TauR,tauR
dhmA~~~dhmA_1,dhmA;;dhmA_1,Haloalkane dehalogenase;hypothetical protein,dhmA
btuD_13~~~btuD_4,btuD_13;btuD_4,Vitamin B12 import ATP-binding protein BtuD,btuD
araA_2~~~araA_1,araA_2;araA_1,L-arabinose 1-dehydrogenase (NAD(P)(+)),araA
pgiA_2~~~pgiA_1,pgiA_2;pgiA_1,Glucose-6-phosphate isomerase,pgiA
soxB_3~~~soxB_1,soxB_3;soxB_1,Sarcosine oxidase subunit beta,soxB
betI_4~~~betI_1,betI_4;betI_1,HTH-type transcriptional regulator BetI,betI
mglA_6~~~mglA_3,mglA_6;mglA_3,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
iolG_3~~~iolG_14,iolG_3;;iolG_14,Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase;hypothetical protein,iolG
dppA_2~~~dppA_4,dppA_2;dppA_4,Periplasmic dipeptide transport protein,dppA
frcA_3~~~frcA_4,frcA_3;;frcA_4,Fructose import ATP-binding protein FrcA;hypothetical protein,frcA
rbsC_20~~~rbsC_2~~~rbsC_17,rbsC_20;rbsC_2;rbsC_17,Ribose import permease protein RbsC,rbsC
rbsA_12~~~rbsA_4,rbsA_12;rbsA_4,Ribose import ATP-binding protein RbsA,rbsA
rbsA_13~~~rbsA_7,rbsA_13;rbsA_7,Ribose import ATP-binding protein RbsA,rbsA
afr_2~~~afr_1,afr_2;afr_1,15-anhydro-D-fructose reductase,afr
fecE_1~~~fecE_2,fecE_1;fecE_2,Fe(3+) dicitrate transport ATP-binding protein FecE,fecE
mtlK_2~~~mtlK_1,mtlK_2;mtlK_1,Mannitol 2-dehydrogenase,mtlK
gbpR_1~~~gbpR_2,gbpR_1;gbpR_2,HTH-type transcriptional regulator GbpR,gbpR
proC_2~~~proC_1,proC_2;;proC_1,Pyrroline-5-carboxylate reductase;hypothetical protein,proC
spuC_3~~~spuC_1,spuC_3;spuC_1,Putrescine--pyruvate aminotransferase,spuC
rhaS_5~~~rhaS_3,rhaS_5;rhaS_3,HTH-type transcriptional activator RhaS,rhaS
davD_1~~~davD_4,davD_1;davD_4,Glutarate-semialdehyde dehydrogenase,davD
hisC_5~~~hisC_2,hisC_5;hisC_2,Histidinol-phosphate aminotransferase,hisC
mglA_4~~~mglA_6,mglA_4;mglA_6,Galactose/methyl galactoside import ATP-binding protein MglA,mglA
nodM_1~~~nodM_2,nodM_1;nodM_2,Glutamine--fructose-6-phosphate aminotransferase [isomerizing],nodM
mdtC_1~~~mdtC_2,mdtC_1;mdtC_2,Multidrug resistance protein MdtC,mdtC
ctaC_2~~~ctaC_1,ctaC_2;ctaC_1,Cytochrome c oxidase subunit 2,ctaC
mshA_10~~~mshA_9,mshA_10;mshA_9,D-inositol-3-phosphate glycosyltransferase,mshA
caiD_2~~~caiD_1,caiD_2;caiD_1,Carnitinyl-CoA dehydratase,caiD
mmcO~~~mmcO_2,mmcO;mmcO_2,Multicopper oxidase MmcO,mmcO
mdh_1~~~mdh_2,mdh_1;mdh_2,Malate dehydrogenase,mdh
rpaR_4~~~rpaR_1,rpaR_4;rpaR_1,HTH-type quorum sensing-dependent transcriptional regulator RpaR,rpaR
rlpA_1~~~rlpA_2,rlpA_1;rlpA_2,Endolytic peptidoglycan transglycosylase RlpA,rlpA
decR_4~~~decR_3,decR_4;decR_3,DNA-binding transcriptional activator DecR,decR
rutB_1~~~rutB,rutB_1;rutB,Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB,rutB
recQ_1~~~recQ_2~~~recQ,recQ_1;recQ_2;recQ,ATP-dependent DNA helicase RecQ,recQ
dppA_7~~~dppA_1,dppA_7;dppA_1,Periplasmic dipeptide transport protein,dppA
argP_2~~~argP_1,argP_2;;argP_1,HTH-type transcriptional regulator ArgP;hypothetical protein,argP
menE~~~menE_2,menE;menE_2,2-succinylbenzoate--CoA ligase,menE
dmlR_8~~~dmlR_4,dmlR_8;dmlR_4,HTH-type transcriptional regulator DmlR,dmlR
fadJ_2~~~fadJ,fadJ_2;fadJ,Fatty acid oxidation complex subunit alpha,fadJ
arcB_2~~~arcB,arcB_2;arcB,Ornithine carbamoyltransferase catabolic,arcB
lacF_5~~~lacF_4,lacF_5;lacF_4,Lactose transport system permease protein LacF,lacF
nadA_2~~~nadA_1~~~nadA,nadA_2;nadA_1;nadA,Quinolinate synthase A,nadA
betB_5~~~betB_3,betB_5;betB_3,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB
dctM_5~~~dctM_1,dctM_5;dctM_1,C4-dicarboxylate TRAP transporter large permease protein DctM,dctM
murG~~~murG_1,murG;murG_1,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,murG
hutH_2~~~hutH_1,hutH_2;hutH_1,Histidine ammonia-lyase,hutH
rhtC_1~~~rhtC_2,;rhtC_1;rhtC_2,hypothetical protein;Threonine efflux protein,rhtC
ybjJ~~~ybjJ_1,ybjJ;ybjJ_1,Inner membrane protein YbjJ,ybjJ
malK_4~~~malK_1,malK_4;malK_1,Maltose/maltodextrin import ATP-binding protein MalK,malK
ogt_2~~~ogt_1,ogt_2;ogt_1,Methylated-DNA--protein-cysteine methyltransferase,ogt
noc_3~~~noc_2,noc_3;noc_2,Nucleoid occlusion protein,noc
frcA_5~~~frcA_3,frcA_5;frcA_3,Fructose import ATP-binding protein FrcA,frcA
hisC_4~~~hisC_1~~~hisC_3,hisC_4;hisC_1;hisC_3,Histidinol-phosphate aminotransferase,hisC
iolE_1~~~iolE_2,iolE_1;iolE_2,Inosose dehydratase,iolE
adh_2~~~adh_1,adh_2;adh_1,Alcohol dehydrogenase,adh
hsrA_1~~~hsrA_2,;hsrA_1;hsrA_2,hypothetical protein;putative transport protein HsrA,hsrA
nosZ_2~~~nosZ~~~nosZ_1,nosZ_2;nosZ;nosZ_1,Nitrous-oxide reductase,nosZ
dctB_2~~~dctB_1,dctB_2;dctB_1,C4-dicarboxylate transport sensor protein DctB,dctB
alkJ_4~~~alkJ_2,alkJ_4;alkJ_2,Alcohol dehydrogenase [acceptor],alkJ
gabD_2~~~gabD_3~~~gabD_1,gabD_2;gabD_3;gabD_1,Succinate-semialdehyde dehydrogenase [NADP(+)] GabD,gabD
gamR_2~~~gamR_1,gamR_2;gamR_1,HTH-type transcriptional repressor GamR,gamR
nuoK_1~~~nuoK_2,nuoK_1;nuoK_2,NADH-quinone oxidoreductase subunit K,nuoK
amiD_1~~~amiD_2,amiD_1;amiD_2,Putative amidase AmiD,amiD
nifH_2~~~nifH~~~nifH_1,nifH_2;nifH;nifH_1,Nitrogenase iron protein,nifH
rcsC_6~~~rcsC_12,rcsC_6;rcsC_12,Sensor histidine kinase RcsC,rcsC
pgrR_8~~~pgrR_3,pgrR_8;pgrR_3,HTH-type transcriptional regulator PgrR,pgrR
gltX_2~~~gltX_1,gltX_2;gltX_1,Glutamate--tRNA ligase,gltX
betB_7~~~betB_6~~~betB_2,betB_7;betB_6;betB_2,NAD/NADP-dependent betaine aldehyde dehydrogenase,betB
gcvA_11~~~gcvA_5,gcvA_11;gcvA_5,Glycine cleavage system transcriptional activator,gcvA
yieH_2~~~yieH_1,yieH_2;yieH_1,6-phosphogluconate phosphatase,yieH
pip_1~~~pip_2,pip_1;;pip_2,Proline iminopeptidase;hypothetical protein,pip
glgA1_1~~~glgA1_2,glgA1_1;glgA1_2,Glycogen synthase 1,glgA1
oppD_3~~~oppD_1~~~oppD_4,oppD_3;oppD_1;oppD_4,Oligopeptide transport ATP-binding protein OppD,oppD
oxyR_3~~~oxyR_1,oxyR_3;oxyR_1,Hydrogen peroxide-inducible genes activator,oxyR
alaS_2~~~alaS_1,alaS_2;alaS_1,Alanine--tRNA ligase,alaS
uacT_1~~~uacT_3,uacT_1;uacT_3,Uric acid transporter UacT,uacT
lutR_1~~~lutR_5,lutR_1;lutR_5,HTH-type transcriptional regulator LutR,lutR
yhdN_1~~~yhdN_2,yhdN_1;yhdN_2,Aldo-keto reductase YhdN,yhdN
iolG_14~~~iolG_16,;iolG_14;iolG_16,hypothetical protein;Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase,iolG
ftsZ_1~~~ftsZ_2,ftsZ_1;ftsZ_2,Cell division protein FtsZ,ftsZ
hipO_3~~~hipO_1,hipO_3;hipO_1,Hippurate hydrolase,hipO
oppF_4~~~oppF_1,oppF_4;oppF_1,Oligopeptide transport ATP-binding protein OppF,oppF
prsE_2~~~prsE_3,prsE_2;prsE_3,Type I secretion system membrane fusion protein PrsE,prsE
dppB_1~~~dppB_8,dppB_1;dppB_8,Dipeptide transport system permease protein DppB,dppB
malK_9~~~malK_5,malK_9;malK_5,Maltose/maltodextrin import ATP-binding protein MalK,malK
rbsA_9~~~rbsA_13,rbsA_9;rbsA_13,Ribose import ATP-binding protein RbsA,rbsA
macA_1~~~macA_2,macA_1;macA_2,Macrolide export protein MacA,macA
cyoC_2~~~cyoC_1,cyoC_2;cyoC_1,Cytochrome bo(3) ubiquinol oxidase subunit 3,cyoC
aqpZ2_1~~~aqpZ2_2,aqpZ2_1;aqpZ2_2,Aquaporin Z 2,aqpZ2
paoB_1~~~paoB_5,paoB_1;paoB_5,Aldehyde oxidoreductase FAD-binding subunit PaoB,paoB
rhaS_1~~~rhaS_5,rhaS_1;rhaS_5,HTH-type transcriptional activator RhaS,rhaS
mshA_13~~~mshA_4,;mshA_13;mshA_4,hypothetical protein;D-inositol-3-phosphate glycosyltransferase,mshA
virB3_1~~~virB3_2,virB3_1;virB3_2,Type IV secretion system protein virB3,virB3
tolQ_1~~~tolQ_2,tolQ_1;tolQ_2,Tol-Pal system protein TolQ,tolQ
lysA~~~lysA_1,lysA;lysA_1,Diaminopimelate decarboxylase,lysA
